peer_name,lookup_time,message_size,peer_cycle_time
p10a,12769100.000000,36169741.000000,1806794430.000000
p10a,36926209.000000,36169741.000000,1562305651.000000
p10a,19239385.000000,36169741.000000,1605978100.000000
p10a,84018021.000000,36169741.000000,1612838179.000000
p10a,8838456.000000,36169741.000000,1826697473.000000
p10a,10719072.000000,36169741.000000,2478677841.000000
p10a,14797612.000000,36169741.000000,2661658912.000000
p10a,36136151.000000,36169741.000000,2751854842.000000
p10a,37508332.000000,36169741.000000,3034818964.000000
p10a,40646357.000000,36169741.000000,3129046200.000000
p07a,188996784.000000,36169741.000000,15554011489.000000
p05a,38093497.000000,36169741.000000,17651580780.000000
p01a,322927378.000000,36169741.000000,18002793553.000000
p06a,25753170.000000,36169741.000000,17611371570.000000
p02a,11800921.000000,36169741.000000,16435229597.000000
p01a,58971848.000000,36169741.000000,18880985791.000000
p03a,37243122.000000,36169741.000000,18369130480.000000
p06a,121314998.000000,36169741.000000,17591083804.000000
p06a,63800745.000000,36169741.000000,16953327622.000000
p01a,300647501.000000,36169741.000000,16644913390.000000
p05a,25994913.000000,36169741.000000,13878623867.000000
p07a,154067844.000000,36169741.000000,13049024242.000000
p01a,938769940.000000,36169741.000000,16348711915.000000
p02a,53733524.000000,36169741.000000,17007306939.000000
p03a,45789902.000000,36169741.000000,17420717827.000000
p05a,28313211.000000,36169741.000000,17018194415.000000
p09a,47067049.000000,36169741.000000,16393755337.000000
p06a,124673265.000000,36169741.000000,14877693563.000000
p06a,121162921.000000,36169741.000000,14730684964.000000
p02a,30058879.000000,36169741.000000,15794293684.000000
p03a,53544755.000000,36169741.000000,15420279401.000000
p01a,45758068.000000,36169741.000000,14626447612.000000
p04a,470191794.000000,36169741.000000,17113728601.000000
p04a,35122156.000000,36169741.000000,17961353941.000000
p04a,53930178.000000,36169741.000000,18609007203.000000
p04a,499143096.000000,36169741.000000,18882175529.000000
p04a,42424222.000000,36169741.000000,18555063428.000000
p02a,40194782.000000,36169741.000000,17647662963.000000
p07a,154204985.000000,36169741.000000,17777965425.000000
p04a,475274027.000000,36169741.000000,18751520826.000000
p03a,79784479.000000,36169741.000000,18323394072.000000
p09a,72855628.000000,36169741.000000,18089389568.000000
p01a,49973898.000000,36169741.000000,19009799445.000000
p05a,71662545.000000,36169741.000000,17795517135.000000
p05a,26853412.000000,36169741.000000,19778469199.000000
p07a,323977292.000000,36169741.000000,18932982703.000000
p09a,43017298.000000,36169741.000000,19112267477.000000
p07a,491979620.000000,36169741.000000,19172735489.000000
p03a,229216528.000000,36169741.000000,19278565176.000000
p05a,63267501.000000,36169741.000000,19868224425.000000
p02a,178611689.000000,36169741.000000,19937526373.000000
p08a,343266889.000000,36169741.000000,18516527554.000000
p08a,96405237.000000,36169741.000000,18251222223.000000
p08a,584419303.000000,36169741.000000,18920931642.000000
p08a,344432589.000000,36169741.000000,18525869000.000000
p08a,194823531.000000,36169741.000000,18198098620.000000
p09a,81194921.000000,36169741.000000,13827827796.000000
p09a,115409301.000000,36169741.000000,19214563674.000000
p03a,228531682.000000,36169741.000000,20141503419.000000
p06a,119641705.000000,36169741.000000,19846647015.000000
p08a,101577902.000000,36169741.000000,19794534326.000000
p09a,87609076.000000,36169741.000000,20498048502.000000
p07a,315438613.000000,36169741.000000,19826407091.000000
p02a,180987874.000000,36169741.000000,19070896256.000000
p05a,355483928.000000,36169741.000000,20693380566.000000
p04a,139561376.000000,36169741.000000,20801685250.000000
p08a,322605564.000000,36169741.000000,19700006224.000000
p06a,122796198.000000,36169741.000000,20809794407.000000
p07a,218187937.000000,36169741.000000,20184656185.000000
p03a,86097652.000000,36169741.000000,21361358015.000000
p02a,181548815.000000,36169741.000000,20400230301.000000
p08a,95399281.000000,36169741.000000,20302671330.000000
p09a,80739161.000000,36169741.000000,20127469829.000000
p01a,52309713.000000,36169741.000000,20659939024.000000
p06a,56589948.000000,36169741.000000,21230815496.000000
p07a,217124588.000000,36169741.000000,20050818885.000000
p05a,25331956.000000,36169741.000000,21196255110.000000
p03a,198651021.000000,36169741.000000,21599825376.000000
p04a,673192926.000000,36169741.000000,21820258915.000000
p02a,375429693.000000,36169741.000000,21520946284.000000
p01a,296052191.000000,36169741.000000,21468766981.000000
p08a,97945482.000000,36169741.000000,20543911907.000000
p06a,53951195.000000,36169741.000000,21342967310.000000
p09a,98517860.000000,36169741.000000,22026046349.000000
p02a,473046632.000000,36169741.000000,23744793584.000000
p03a,641123434.000000,36169741.000000,23823646194.000000
p05a,356917876.000000,36169741.000000,22767856397.000000
p04a,474245269.000000,36169741.000000,22915816663.000000
p07a,187603541.000000,36169741.000000,23462963396.000000
p01a,169723015.000000,36169741.000000,23926968817.000000
p09a,70788958.000000,36169741.000000,22959487790.000000
p07a,312974171.000000,36169741.000000,23324367371.000000
p02a,188611579.000000,36169741.000000,24178890911.000000
p06a,120146236.000000,36169741.000000,24736844234.000000
p08a,99163436.000000,36169741.000000,23424637121.000000
p05a,347349594.000000,36169741.000000,24145001704.000000
p04a,249868105.000000,36169741.000000,25119234594.000000
p03a,196702696.000000,36169741.000000,24056445853.000000
p01a,364299287.000000,36169741.000000,24200460488.000000
p09a,55081231.000000,36169741.000000,24005590343.000000
