peer_name,lookup_time,message_size,peer_cycle_time
p04a,33025961.000000,461997.000000,223516402.000000
p04a,25463540.000000,461997.000000,283417794.000000
p04a,17347870.000000,461997.000000,282768430.000000
p04a,6567196.000000,461997.000000,250590583.000000
p04a,16100593.000000,461997.000000,309216754.000000
p04a,18483312.000000,461997.000000,301172591.000000
p04a,39212318.000000,461997.000000,343504617.000000
p04a,32201339.000000,461997.000000,268801147.000000
p04a,23661118.000000,461997.000000,268117609.000000
p04a,9820570.000000,461997.000000,314224202.000000
p03a,63500677.000000,461997.000000,130564972.000000
p03a,26724910.000000,461997.000000,141302472.000000
p03a,54099307.000000,461997.000000,160149596.000000
p03a,24183920.000000,461997.000000,197615889.000000
p03a,57654550.000000,461997.000000,173671308.000000
p03a,39479722.000000,461997.000000,194111650.000000
p03a,30930701.000000,461997.000000,189489426.000000
p03a,49355462.000000,461997.000000,139190783.000000
p03a,25789237.000000,461997.000000,171518252.000000
p03a,36238668.000000,461997.000000,190868838.000000
p08a,7488376.000000,461997.000000,124880765.000000
p08a,15697900.000000,461997.000000,124706899.000000
p08a,48594577.000000,461997.000000,107020231.000000
p08a,43818054.000000,461997.000000,111446968.000000
p08a,13086182.000000,461997.000000,125766714.000000
p08a,15524967.000000,461997.000000,124753542.000000
p08a,15172932.000000,461997.000000,127258987.000000
p08a,11899826.000000,461997.000000,128565900.000000
p08a,55163099.000000,461997.000000,90470656.000000
p08a,13164700.000000,461997.000000,124295156.000000
p01a,7764366.000000,461997.000000,125147500.000000
p01a,34273385.000000,461997.000000,129344976.000000
p01a,22137502.000000,461997.000000,134508136.000000
p01a,27462440.000000,461997.000000,139621648.000000
p01a,38847651.000000,461997.000000,143811476.000000
p01a,23177509.000000,461997.000000,80473292.000000
p01a,31593132.000000,461997.000000,152451612.000000
p01a,14990118.000000,461997.000000,132396903.000000
p01a,17814067.000000,461997.000000,119902325.000000
p01a,48417395.000000,461997.000000,156631269.000000
p05a,23781120.000000,461997.000000,139022278.000000
p05a,24630948.000000,461997.000000,144369530.000000
p05a,28004752.000000,461997.000000,143230867.000000
p05a,13849204.000000,461997.000000,140239720.000000
p05a,15564749.000000,461997.000000,142906134.000000
p05a,28522212.000000,461997.000000,152278706.000000
p05a,42061540.000000,461997.000000,136703397.000000
p05a,10639853.000000,461997.000000,129671763.000000
p05a,23455955.000000,461997.000000,147273470.000000
p05a,12136551.000000,461997.000000,139981300.000000
p09a,30620779.000000,461997.000000,152677552.000000
p09a,17639749.000000,461997.000000,165605447.000000
p09a,26243198.000000,461997.000000,148803235.000000
p09a,26167803.000000,461997.000000,165153475.000000
p09a,25176305.000000,461997.000000,134407366.000000
p09a,9245501.000000,461997.000000,170139388.000000
p09a,14627905.000000,461997.000000,143610973.000000
p09a,24180983.000000,461997.000000,166184060.000000
p09a,28498584.000000,461997.000000,155717259.000000
p09a,26411563.000000,461997.000000,161209197.000000
p07a,31115642.000000,461997.000000,234428138.000000
p07a,27062785.000000,461997.000000,150112441.000000
p07a,35243978.000000,461997.000000,207699550.000000
p07a,32229939.000000,461997.000000,205154169.000000
p07a,34494152.000000,461997.000000,231007774.000000
p07a,8001068.000000,461997.000000,221714675.000000
p07a,14064371.000000,461997.000000,213840108.000000
p07a,11480248.000000,461997.000000,227611119.000000
p07a,7478780.000000,461997.000000,224161969.000000
p07a,43711003.000000,461997.000000,235266621.000000
p10a,16186974.000000,461997.000000,289710496.000000
p10a,137784093.000000,461997.000000,204211074.000000
p10a,6595048.000000,461997.000000,250019580.000000
p10a,2962220.000000,461997.000000,265112239.000000
p10a,18436511.000000,461997.000000,227994322.000000
p10a,9195726.000000,461997.000000,160108357.000000
p10a,9494446.000000,461997.000000,254608651.000000
p10a,18690111.000000,461997.000000,221315665.000000
p10a,7209947.000000,461997.000000,242583090.000000
p10a,11838628.000000,461997.000000,285696357.000000
p06a,28779106.000000,461997.000000,241988431.000000
p06a,50587434.000000,461997.000000,185359166.000000
p06a,22009465.000000,461997.000000,216089152.000000
p06a,28535208.000000,461997.000000,212164708.000000
p06a,11495309.000000,461997.000000,202155279.000000
p06a,22267307.000000,461997.000000,248356783.000000
p06a,14718915.000000,461997.000000,234741092.000000
p06a,9534177.000000,461997.000000,218047519.000000
p06a,21084802.000000,461997.000000,95780801.000000
p06a,45441862.000000,461997.000000,201042192.000000
p02a,64827482.000000,461997.000000,107541041.000000
p02a,34534096.000000,461997.000000,123109132.000000
p02a,34097833.000000,461997.000000,124728963.000000
p02a,34360496.000000,461997.000000,124052218.000000
p02a,78371357.000000,461997.000000,122044226.000000
p02a,6067982.000000,461997.000000,145675377.000000
p02a,31833326.000000,461997.000000,141314324.000000
p02a,31271643.000000,461997.000000,130804611.000000
p02a,46665679.000000,461997.000000,123417164.000000
p02a,14423065.000000,461997.000000,125178318.000000
