peer_name,lookup_time,message_size,peer_cycle_time
p07a,29363027.000000,11077854.000000,1091825688.000000
p03a,17321915.000000,11077854.000000,1600089346.000000
p03a,14121026.000000,11077854.000000,1492440107.000000
p07a,44514809.000000,11077854.000000,1189377131.000000
p07a,55191431.000000,11077854.000000,1146497478.000000
p03a,10723958.000000,11077854.000000,1635088910.000000
p07a,52056062.000000,11077854.000000,1023207675.000000
p07a,67010026.000000,11077854.000000,1209955571.000000
p07a,30052888.000000,11077854.000000,1296071570.000000
p03a,29297291.000000,11077854.000000,1292560612.000000
p07a,23711311.000000,11077854.000000,1782338321.000000
p07a,55820524.000000,11077854.000000,1235911637.000000
p03a,36136957.000000,11077854.000000,1768519012.000000
p03a,106359047.000000,11077854.000000,1447409005.000000
p03a,97747264.000000,11077854.000000,1595630669.000000
p03a,41628719.000000,11077854.000000,1901806585.000000
p03a,1940206.000000,11077854.000000,1900609349.000000
p07a,64689299.000000,11077854.000000,1533726489.000000
p03a,43388179.000000,11077854.000000,2078287446.000000
p07a,54014010.000000,11077854.000000,2203639956.000000
p06a,30151205.000000,11077854.000000,2049619244.000000
p06a,15157595.000000,11077854.000000,968896914.000000
p06a,72854097.000000,11077854.000000,1746820545.000000
p06a,91229398.000000,11077854.000000,1650241356.000000
p06a,78940322.000000,11077854.000000,2243613753.000000
p06a,21842695.000000,11077854.000000,1299506548.000000
p06a,2455089.000000,11077854.000000,2008179422.000000
p06a,12832559.000000,11077854.000000,1159686100.000000
p08a,83905630.000000,11077854.000000,2101548708.000000
p06a,2814048.000000,11077854.000000,2200823689.000000
p08a,78782851.000000,11077854.000000,2223754019.000000
p08a,78215599.000000,11077854.000000,1582449259.000000
p06a,37893287.000000,11077854.000000,2943392634.000000
p08a,65969781.000000,11077854.000000,1890164718.000000
p08a,78082709.000000,11077854.000000,2047630626.000000
p08a,80592519.000000,11077854.000000,2222628868.000000
p02a,30559394.000000,11077854.000000,1526504426.000000
p08a,29073570.000000,11077854.000000,3405118901.000000
p02a,25861914.000000,11077854.000000,1426680398.000000
p02a,36705903.000000,11077854.000000,1736075258.000000
p02a,65756381.000000,11077854.000000,1500554907.000000
p01a,130042643.000000,11077854.000000,1728035911.000000
p01a,117779087.000000,11077854.000000,1251009281.000000
p01a,129910889.000000,11077854.000000,2362798563.000000
p02a,63327144.000000,11077854.000000,2042900042.000000
p01a,83732352.000000,11077854.000000,1628171288.000000
p02a,95198102.000000,11077854.000000,1724169883.000000
p02a,31827975.000000,11077854.000000,2147634356.000000
p01a,106622620.000000,11077854.000000,1945568833.000000
p01a,29933148.000000,11077854.000000,1275444424.000000
p08a,70479330.000000,11077854.000000,2746047799.000000
p09a,140163327.000000,11077854.000000,2082832079.000000
p09a,145809907.000000,11077854.000000,1681580328.000000
p09a,14043849.000000,11077854.000000,1863992661.000000
p09a,15655431.000000,11077854.000000,2156132642.000000
p01a,95936521.000000,11077854.000000,1883885360.000000
p05a,86028832.000000,11077854.000000,1953594002.000000
p05a,251159721.000000,11077854.000000,1905356386.000000
p05a,132406945.000000,11077854.000000,2651136245.000000
p09a,176424260.000000,11077854.000000,1873693666.000000
p08a,79019111.000000,11077854.000000,2864589941.000000
p09a,140049284.000000,11077854.000000,1918530987.000000
p09a,72092965.000000,11077854.000000,1869488609.000000
p05a,265627306.000000,11077854.000000,1304317263.000000
p05a,56113636.000000,11077854.000000,1986626306.000000
p09a,15332904.000000,11077854.000000,2264651475.000000
p02a,92184274.000000,11077854.000000,2336724867.000000
p08a,97951012.000000,11077854.000000,3586488931.000000
p01a,66693276.000000,11077854.000000,2079782626.000000
p05a,232956280.000000,11077854.000000,1484198627.000000
p02a,80935803.000000,11077854.000000,2356040592.000000
p01a,27687891.000000,11077854.000000,1897283431.000000
p05a,70463711.000000,11077854.000000,2346800377.000000
p04a,219929568.000000,11077854.000000,1408823686.000000
p04a,191378158.000000,11077854.000000,1155499451.000000
p04a,191680440.000000,11077854.000000,1600208902.000000
p04a,210054218.000000,11077854.000000,1210791456.000000
p05a,34657759.000000,11077854.000000,3040202114.000000
p04a,125881576.000000,11077854.000000,1633622539.000000
p10a,102905610.000000,11077854.000000,1697367480.000000
p10a,115633277.000000,11077854.000000,2173313670.000000
p10a,114019057.000000,11077854.000000,1713015424.000000
p10a,245666514.000000,11077854.000000,1751023666.000000
p10a,24518358.000000,11077854.000000,1748874672.000000
p10a,111414414.000000,11077854.000000,1945722997.000000
p09a,37794469.000000,11077854.000000,2994652408.000000
p10a,114373673.000000,11077854.000000,1694616016.000000
p04a,120616918.000000,11077854.000000,1312984300.000000
p04a,129812638.000000,11077854.000000,1315101460.000000
p10a,115551424.000000,11077854.000000,2242450894.000000
p05a,240272270.000000,11077854.000000,2582374945.000000
p04a,124093525.000000,11077854.000000,1672511331.000000
p04a,215603839.000000,11077854.000000,1680766944.000000
p10a,117148623.000000,11077854.000000,1982504731.000000
p09a,139158634.000000,11077854.000000,2569161915.000000
p10a,250860864.000000,11077854.000000,1872218180.000000
p05a,210407424.000000,11077854.000000,1951652153.000000
p04a,189793222.000000,11077854.000000,1700189986.000000
p02a,95731750.000000,11077854.000000,2807343924.000000
p01a,134921428.000000,11077854.000000,2770258693.000000
