peer_name,lookup_time,message_size,peer_cycle_time
p07a,24957449.000000,4043383.000000,339251505.000000
p07a,18290097.000000,4043383.000000,274873340.000000
p07a,17427675.000000,4043383.000000,434424140.000000
p07a,23852049.000000,4043383.000000,347854365.000000
p07a,22391727.000000,4043383.000000,401482830.000000
p07a,32237902.000000,4043383.000000,337771160.000000
p07a,27417065.000000,4043383.000000,398546232.000000
p07a,22824310.000000,4043383.000000,456344029.000000
p07a,21339523.000000,4043383.000000,403692773.000000
p07a,23233626.000000,4043383.000000,411352323.000000
p06a,98418935.000000,4043383.000000,314582573.000000
p06a,33911575.000000,4043383.000000,416605664.000000
p06a,82628420.000000,4043383.000000,353621370.000000
p06a,72840709.000000,4043383.000000,355245063.000000
p06a,76580755.000000,4043383.000000,328085555.000000
p06a,62527922.000000,4043383.000000,328556857.000000
p06a,80598425.000000,4043383.000000,324567654.000000
p06a,125498338.000000,4043383.000000,329926626.000000
p06a,71912746.000000,4043383.000000,338245352.000000
p06a,133794367.000000,4043383.000000,295559851.000000
p09a,110869695.000000,4043383.000000,433163850.000000
p09a,107391528.000000,4043383.000000,530491597.000000
p09a,28031829.000000,4043383.000000,588624687.000000
p09a,29719689.000000,4043383.000000,563036346.000000
p09a,111167038.000000,4043383.000000,535704959.000000
p09a,27106275.000000,4043383.000000,576278258.000000
p09a,127530062.000000,4043383.000000,469629112.000000
p09a,101811931.000000,4043383.000000,539774047.000000
p09a,125821728.000000,4043383.000000,541161248.000000
p09a,130960827.000000,4043383.000000,489878252.000000
p08a,132411811.000000,4043383.000000,913449204.000000
p08a,76255405.000000,4043383.000000,875627376.000000
p08a,75877258.000000,4043383.000000,938031029.000000
p08a,42338584.000000,4043383.000000,1030901258.000000
p08a,82085068.000000,4043383.000000,962854352.000000
p03a,66336190.000000,4043383.000000,1019334059.000000
p08a,92681546.000000,4043383.000000,1051643448.000000
p03a,31420531.000000,4043383.000000,962749261.000000
p03a,44742752.000000,4043383.000000,1073070448.000000
p03a,36308611.000000,4043383.000000,941278811.000000
p08a,41516016.000000,4043383.000000,1184603709.000000
p08a,76300610.000000,4043383.000000,1162567600.000000
p10a,96758481.000000,4043383.000000,856612281.000000
p08a,38277796.000000,4043383.000000,1285540993.000000
p08a,80822840.000000,4043383.000000,1289700282.000000
p10a,104979847.000000,4043383.000000,980928267.000000
p03a,30462705.000000,4043383.000000,1133977193.000000
p10a,102049999.000000,4043383.000000,919221544.000000
p10a,104073881.000000,4043383.000000,1018797360.000000
p01a,35296899.000000,4043383.000000,1255788854.000000
p01a,38695394.000000,4043383.000000,1016915594.000000
p01a,204171984.000000,4043383.000000,917841655.000000
p01a,145170790.000000,4043383.000000,1039570054.000000
p01a,41319052.000000,4043383.000000,947947882.000000
p03a,36718785.000000,4043383.000000,1203684955.000000
p03a,29269902.000000,4043383.000000,1250649424.000000
p01a,145754560.000000,4043383.000000,998817959.000000
p10a,128901680.000000,4043383.000000,1063280545.000000
p01a,32711003.000000,4043383.000000,1197754259.000000
p04a,110186975.000000,4043383.000000,1025989462.000000
p10a,133166372.000000,4043383.000000,1096589042.000000
p01a,63075361.000000,4043383.000000,1224879486.000000
p01a,107630181.000000,4043383.000000,1182899462.000000
p10a,125009399.000000,4043383.000000,976595965.000000
p04a,96537727.000000,4043383.000000,1141593835.000000
p10a,106397293.000000,4043383.000000,1164734892.000000
p04a,159748077.000000,4043383.000000,992928753.000000
p04a,150934712.000000,4043383.000000,785410456.000000
p04a,128747111.000000,4043383.000000,1310260535.000000
p01a,160411858.000000,4043383.000000,1130601690.000000
p04a,78168410.000000,4043383.000000,1124476154.000000
p03a,34841381.000000,4043383.000000,1655985630.000000
p10a,111281306.000000,4043383.000000,1180613654.000000
p03a,29552993.000000,4043383.000000,1639245191.000000
p04a,158969491.000000,4043383.000000,1118358676.000000
p04a,104176075.000000,4043383.000000,909912004.000000
p10a,112438725.000000,4043383.000000,1129508160.000000
p03a,48606510.000000,4043383.000000,1386690837.000000
p04a,161122239.000000,4043383.000000,1048769943.000000
p04a,164022467.000000,4043383.000000,1207572482.000000
p02a,57721242.000000,4043383.000000,1007916035.000000
p02a,65971358.000000,4043383.000000,918759998.000000
p02a,60932762.000000,4043383.000000,967430119.000000
p02a,151505331.000000,4043383.000000,902636415.000000
p02a,79892322.000000,4043383.000000,965423078.000000
p02a,78992182.000000,4043383.000000,941045791.000000
p02a,75559328.000000,4043383.000000,927686064.000000
p02a,69464731.000000,4043383.000000,996147038.000000
p02a,65873768.000000,4043383.000000,1053728166.000000
p05a,65648324.000000,4043383.000000,1114502155.000000
p02a,124860749.000000,4043383.000000,1043023306.000000
p05a,256618855.000000,4043383.000000,475666547.000000
p05a,54032733.000000,4043383.000000,1114808788.000000
p05a,191892165.000000,4043383.000000,1109063061.000000
p05a,72995575.000000,4043383.000000,1134890590.000000
p05a,52992252.000000,4043383.000000,1161236980.000000
p05a,445419180.000000,4043383.000000,641363071.000000
p05a,50995237.000000,4043383.000000,1115397134.000000
p05a,67440268.000000,4043383.000000,1188699477.000000
p05a,46858971.000000,4043383.000000,1195321516.000000
