peer_name,lookup_time,message_size,peer_cycle_time
p10a,44770664.000000,9067363.000000,1539287798.000000
p10a,16626917.000000,9067363.000000,2141038578.000000
p10a,38736602.000000,9067363.000000,2150477406.000000
p10a,27350105.000000,9067363.000000,1855715605.000000
p10a,32863820.000000,9067363.000000,2372179726.000000
p10a,48516059.000000,9067363.000000,1943489840.000000
p10a,31176935.000000,9067363.000000,2350026030.000000
p04a,20535691.000000,9067363.000000,2512572641.000000
p10a,9620244.000000,9067363.000000,2955058022.000000
p04a,30909807.000000,9067363.000000,2431306741.000000
p04a,17105550.000000,9067363.000000,2608111491.000000
p10a,6821081.000000,9067363.000000,2780189353.000000
p10a,41725333.000000,9067363.000000,3060200264.000000
p06a,78550976.000000,9067363.000000,2555312580.000000
p06a,16517931.000000,9067363.000000,2823301138.000000
p06a,17038470.000000,9067363.000000,2498298165.000000
p03a,66485988.000000,9067363.000000,2930120287.000000
p03a,46770604.000000,9067363.000000,2442476381.000000
p04a,8221987.000000,9067363.000000,2883178048.000000
p04a,17507312.000000,9067363.000000,2815309332.000000
p06a,101315297.000000,9067363.000000,2720576190.000000
p06a,133511772.000000,9067363.000000,2731140503.000000
p04a,27845234.000000,9067363.000000,2971912522.000000
p04a,27835596.000000,9067363.000000,3337002912.000000
p04a,19995628.000000,9067363.000000,3621412326.000000
p06a,39943835.000000,9067363.000000,2897495928.000000
p06a,163510498.000000,9067363.000000,2967873147.000000
p04a,27411484.000000,9067363.000000,3224079861.000000
p03a,45050071.000000,9067363.000000,1905094469.000000
p05a,103586287.000000,9067363.000000,2441751585.000000
p06a,17585873.000000,9067363.000000,2991852198.000000
p05a,105941678.000000,9067363.000000,2381536909.000000
p03a,65792488.000000,9067363.000000,2656008282.000000
p05a,117901292.000000,9067363.000000,2997707130.000000
p03a,16594995.000000,9067363.000000,2894897027.000000
p06a,68527097.000000,9067363.000000,3426685339.000000
p09a,60849566.000000,9067363.000000,2317619323.000000
p09a,17519529.000000,9067363.000000,2129344122.000000
p09a,12511193.000000,9067363.000000,2024792921.000000
p09a,89060198.000000,9067363.000000,1864020971.000000
p02a,77234345.000000,9067363.000000,1362756697.000000
p02a,24577715.000000,9067363.000000,2986972364.000000
p03a,17499435.000000,9067363.000000,4062738984.000000
p05a,57078070.000000,9067363.000000,3400654253.000000
p03a,48270773.000000,9067363.000000,2469237196.000000
p02a,159306104.000000,9067363.000000,1508682238.000000
p08a,76332528.000000,9067363.000000,1615597949.000000
p08a,193858915.000000,9067363.000000,1866897419.000000
p05a,108013631.000000,9067363.000000,3306263909.000000
p08a,119839351.000000,9067363.000000,1487969868.000000
p02a,113869688.000000,9067363.000000,2431650437.000000
p02a,57055793.000000,9067363.000000,3303026863.000000
p05a,98552613.000000,9067363.000000,2709537925.000000
p09a,88135569.000000,9067363.000000,2447848996.000000
p05a,108147654.000000,9067363.000000,3682331242.000000
p02a,139733714.000000,9067363.000000,2320783814.000000
p07a,59559795.000000,9067363.000000,852901733.000000
p07a,29983767.000000,9067363.000000,1528462821.000000
p07a,80531013.000000,9067363.000000,1514704966.000000
p09a,34296255.000000,9067363.000000,3525790662.000000
p07a,135774029.000000,9067363.000000,1580270068.000000
p02a,160151374.000000,9067363.000000,2013487424.000000
p02a,188219895.000000,9067363.000000,2101305021.000000
p08a,205060611.000000,9067363.000000,1937015169.000000
p05a,87320832.000000,9067363.000000,3466439644.000000
p08a,59688400.000000,9067363.000000,2142493128.000000
p03a,58936091.000000,9067363.000000,3169552741.000000
p08a,193372366.000000,9067363.000000,2011503001.000000
p01a,33087450.000000,9067363.000000,1398050783.000000
p07a,29763681.000000,9067363.000000,1850009582.000000
p01a,58113479.000000,9067363.000000,1400181076.000000
p09a,12686936.000000,9067363.000000,3348838640.000000
p01a,39412121.000000,9067363.000000,1423183323.000000
p09a,52456491.000000,9067363.000000,3240498810.000000
p01a,27898151.000000,9067363.000000,1655864332.000000
p01a,78676921.000000,9067363.000000,1434044844.000000
p07a,1006957167.000000,9067363.000000,1179256822.000000
p07a,72596988.000000,9067363.000000,1532275610.000000
p08a,144763900.000000,9067363.000000,1723762478.000000
p08a,117794770.000000,9067363.000000,2026870451.000000
p01a,48143480.000000,9067363.000000,1468575477.000000
p07a,74557481.000000,9067363.000000,1473095363.000000
p06a,129040134.000000,9067363.000000,4099601554.000000
p01a,55151521.000000,9067363.000000,1518598029.000000
p03a,55192903.000000,9067363.000000,3070124560.000000
p02a,103621561.000000,9067363.000000,2470789196.000000
p03a,48328628.000000,9067363.000000,4465340373.000000
p04a,42043948.000000,9067363.000000,3695825761.000000
p01a,55453032.000000,9067363.000000,1471945924.000000
p05a,79804832.000000,9067363.000000,4038729272.000000
p09a,57607417.000000,9067363.000000,3037808860.000000
p09a,220479848.000000,9067363.000000,3103823912.000000
p07a,122836924.000000,9067363.000000,1713618966.000000
p08a,193921495.000000,9067363.000000,1938127611.000000
p01a,61732114.000000,9067363.000000,2183628288.000000
p07a,103098671.000000,9067363.000000,1957146872.000000
p05a,127298239.000000,9067363.000000,3238690348.000000
p02a,119108093.000000,9067363.000000,2775108717.000000
p08a,141591506.000000,9067363.000000,1862313500.000000
p01a,61496337.000000,9067363.000000,1879249069.000000
