peer_name,lookup_time,message_size,peer_cycle_time
p10a,7851324.000000,13851941.000000,846633772.000000
p10a,8850816.000000,13851941.000000,869226655.000000
p10a,44859527.000000,13851941.000000,824220578.000000
p10a,44766123.000000,13851941.000000,862652250.000000
p10a,34972193.000000,13851941.000000,830655156.000000
p10a,21951715.000000,13851941.000000,967592665.000000
p10a,30488789.000000,13851941.000000,1019823621.000000
p10a,12684420.000000,13851941.000000,1128000804.000000
p10a,10454539.000000,13851941.000000,1189254087.000000
p10a,7758588.000000,13851941.000000,1215506873.000000
p03a,54452184.000000,13851941.000000,1547176509.000000
p03a,91894347.000000,13851941.000000,1987563671.000000
p03a,91249511.000000,13851941.000000,2159963540.000000
p03a,67614080.000000,13851941.000000,2580285414.000000
p09a,104397241.000000,13851941.000000,1961763551.000000
p03a,13013859.000000,13851941.000000,2963514824.000000
p04a,74539984.000000,13851941.000000,2239024117.000000
p08a,113740414.000000,13851941.000000,2028933347.000000
p09a,116837071.000000,13851941.000000,3158102332.000000
p03a,76558356.000000,13851941.000000,3209315222.000000
p03a,85502786.000000,13851941.000000,3476636652.000000
p09a,86491020.000000,13851941.000000,3125053305.000000
p09a,177991572.000000,13851941.000000,2293577375.000000
p09a,23019682.000000,13851941.000000,3684337803.000000
p08a,333538682.000000,13851941.000000,3560884552.000000
p04a,50375631.000000,13851941.000000,2040751544.000000
p09a,89752872.000000,13851941.000000,3389356588.000000
p08a,114946173.000000,13851941.000000,3840341290.000000
p03a,12977300.000000,13851941.000000,3931702352.000000
p08a,194097545.000000,13851941.000000,3785700217.000000
p08a,128438838.000000,13851941.000000,2727515504.000000
p03a,30119236.000000,13851941.000000,3639678843.000000
p04a,50531409.000000,13851941.000000,3327232648.000000
p04a,23087197.000000,13851941.000000,3183523680.000000
p09a,107075269.000000,13851941.000000,4293408103.000000
p04a,74828652.000000,13851941.000000,4486215523.000000
p04a,71595784.000000,13851941.000000,3198961562.000000
p08a,231171744.000000,13851941.000000,3004830367.000000
p08a,131110558.000000,13851941.000000,3841626858.000000
p08a,324738426.000000,13851941.000000,3443728159.000000
p04a,101838695.000000,13851941.000000,4164616848.000000
p09a,185753294.000000,13851941.000000,3258153243.000000
p09a,174444318.000000,13851941.000000,3421502024.000000
p04a,63404055.000000,13851941.000000,4653951985.000000
p01a,125584511.000000,13851941.000000,2271890002.000000
p04a,51842486.000000,13851941.000000,3885871831.000000
p02a,108904893.000000,13851941.000000,2157992170.000000
p03a,8348028.000000,13851941.000000,4624138598.000000
p06a,147707075.000000,13851941.000000,3704954539.000000
p06a,252466933.000000,13851941.000000,3593870360.000000
p06a,290503919.000000,13851941.000000,3107340303.000000
p07a,66851494.000000,13851941.000000,2313344509.000000
p05a,54701184.000000,13851941.000000,2813354855.000000
p05a,75142675.000000,13851941.000000,2273996329.000000
p06a,251648206.000000,13851941.000000,3326043436.000000
p02a,113537646.000000,13851941.000000,2247407722.000000
p02a,165475669.000000,13851941.000000,2846224197.000000
p05a,83903330.000000,13851941.000000,3892609165.000000
p05a,28235280.000000,13851941.000000,2408751531.000000
p07a,18739689.000000,13851941.000000,2880952839.000000
p06a,163909227.000000,13851941.000000,3128416928.000000
p01a,72907161.000000,13851941.000000,3094463739.000000
p06a,154836712.000000,13851941.000000,3408235912.000000
p02a,298476696.000000,13851941.000000,2503601617.000000
p07a,31043020.000000,13851941.000000,3285806945.000000
p01a,260938017.000000,13851941.000000,2236799553.000000
p01a,62965743.000000,13851941.000000,2478460538.000000
p07a,42255460.000000,13851941.000000,2727403364.000000
p05a,67694832.000000,13851941.000000,3182231407.000000
p01a,109716418.000000,13851941.000000,2292201982.000000
p07a,64483513.000000,13851941.000000,2642682390.000000
p07a,44456952.000000,13851941.000000,3079765838.000000
p02a,191721231.000000,13851941.000000,2735852561.000000
p08a,323825393.000000,13851941.000000,3339207925.000000
p01a,113069154.000000,13851941.000000,2984188528.000000
p02a,34325865.000000,13851941.000000,2025511152.000000
p05a,47768184.000000,13851941.000000,3061767430.000000
p02a,16759750.000000,13851941.000000,2864230576.000000
p06a,282052386.000000,13851941.000000,4119863742.000000
p01a,12429310.000000,13851941.000000,3241138826.000000
p07a,171390054.000000,13851941.000000,2276936375.000000
p05a,109902491.000000,13851941.000000,2675795107.000000
p05a,45438891.000000,13851941.000000,2734583476.000000
p01a,112407799.000000,13851941.000000,2564098815.000000
p06a,278656065.000000,13851941.000000,4333302208.000000
p09a,94110435.000000,13851941.000000,5178734051.000000
p08a,97053168.000000,13851941.000000,4091524390.000000
p04a,53265435.000000,13851941.000000,5483064065.000000
p05a,48416284.000000,13851941.000000,3014700459.000000
p07a,9063860.000000,13851941.000000,3286031650.000000
p07a,65870186.000000,13851941.000000,2605300013.000000
p02a,189242639.000000,13851941.000000,2999550928.000000
p01a,26686773.000000,13851941.000000,2653399734.000000
p02a,30333396.000000,13851941.000000,2840460175.000000
p06a,168960684.000000,13851941.000000,3531355843.000000
p06a,308915535.000000,13851941.000000,2634458645.000000
p07a,32424581.000000,13851941.000000,3041424575.000000
p01a,61800563.000000,13851941.000000,2826224620.000000
p05a,29011034.000000,13851941.000000,3987227597.000000
p02a,73847282.000000,13851941.000000,2766518607.000000
